iteration,method,feature,weight,sample
0,critic,education_bachelor_or_higher,0.08689790521682658,all_managers
0,critic,education_master_or_higher,0.08712944086863855,all_managers
0,critic,education_doctoral,0.06114408873380381,all_managers
0,critic,has_mba_emba,0.07808031007877901,all_managers
0,critic,has_foreign_education,0.08008456725961274,all_managers
0,critic,has_professional_retraining,0.016045575474995338,all_managers
0,critic,has_law_education,0.039602214065107055,all_managers
0,critic,has_economics_education,0.09100089081899837,all_managers
0,critic,publications_count,0.014253172713196892,all_managers
0,critic,has_research_experience,0.05531527855344708,all_managers
0,critic,research_experience_years,0.013994253520406858,all_managers
0,critic,patents_count,0.011409352567948165,all_managers
0,critic,experience_years_same_sector,0.034534239703191805,all_managers
0,critic,experience_years_same_industry,0.034591163392016296,all_managers
0,critic,experience_years_same_industry_group,0.0344491096526188,all_managers
0,critic,professional_experience_years,0.02362913405678814,all_managers
0,critic,has_experience_same_sector,0.03818193965601344,all_managers
0,critic,has_experience_same_industry,0.04078972600788355,all_managers
0,critic,has_experience_same_industry_group,0.03818193965601344,all_managers
0,critic,has_other_company_management,0.08832828631180925,all_managers
0,critic,current_company_experience_years,0.03235741169190486,all_managers
0,max_variance,education_bachelor_or_higher,0.0,all_managers
0,max_variance,education_master_or_higher,1.0,all_managers
0,max_variance,education_doctoral,0.0,all_managers
0,max_variance,has_mba_emba,0.0,all_managers
0,max_variance,has_foreign_education,0.0,all_managers
0,max_variance,has_professional_retraining,0.0,all_managers
0,max_variance,has_law_education,0.0,all_managers
0,max_variance,has_economics_education,0.0,all_managers
0,max_variance,publications_count,0.0,all_managers
0,max_variance,has_research_experience,0.0,all_managers
0,max_variance,research_experience_years,0.0,all_managers
0,max_variance,patents_count,0.0,all_managers
0,max_variance,experience_years_same_sector,0.0,all_managers
0,max_variance,experience_years_same_industry,0.0,all_managers
0,max_variance,experience_years_same_industry_group,0.0,all_managers
0,max_variance,professional_experience_years,0.0,all_managers
0,max_variance,has_experience_same_sector,0.0,all_managers
0,max_variance,has_experience_same_industry,0.0,all_managers
0,max_variance,has_experience_same_industry_group,0.0,all_managers
0,max_variance,has_other_company_management,0.0,all_managers
0,max_variance,current_company_experience_years,0.0,all_managers
1,critic,education_bachelor_or_higher,0.09141905443306059,all_managers
1,critic,education_master_or_higher,0.09012688837919351,all_managers
1,critic,education_doctoral,0.06423575961227963,all_managers
