ticker,name,source_positions,ceo_in_positions,facial_trust_appearance_proxy,yandex_count,name_cyrillic,Nom_2015,Nom_2016,Nom_2017,Nom_2018,Nom_2019,Nom_2020,Nom_2021,Nom_2022,Nom_2023,Nom_2024,education_name,education_role,education_secondary,education_bachelor,education_master,education_doctoral,education_level_unknown,has_mba_emba,has_foreign_education,has_professional_retraining,has_law_education,has_economics_education,publications_count,publications_count_is_lower_bound,has_research_experience,research_experience_years,patents_count,patents_count_is_lower_bound,experience_years_same_sector,experience_years_same_industry,experience_years_same_industry_group,professional_experience_years,has_experience_same_sector,has_experience_same_industry,has_experience_same_industry_group,has_other_company_management,current_company_experience_years,ceo_in_json,notebook_higher_education,notebook_degree,notebook_publications,notebook_research_experience,notebook_patents,education_observed,is_ceo,ceo_identification,ceo_position_conflict,person_id,media_observed,face_observed,yandex_count_original,media_score,awards_raw,awards_score,expertise_score,face_score
ABIO,Александров Дмитрий Андреевич,Член СД,False,0.4587528100663443,722.0,Александров Дмитрий Андреевич,,,,,,,,,,,Александров Дмитрий Андреевич,"Член СД по CSV; не подтвержден как член Совета директоров ПАО ""Артген"" в годовом отчете за 2024 год",0,0,0,1,0,0,0,0,0,0,0.0,0,1,0,0.0,0,0,0,0,21,1,1,1,1,0,False,1,1,0,1,0,1,False,,False,aleksandrov andreevich dmitrii,1,1,722.0,66.73194815280887,0.0,0.0,60.00000000000001,68.64949754473054
ABIO,Богуславский Дмитрий Эдгардович,Член СД,False,0.7442154299725134,385.0,Богуславский Дмитрий Эдгардович,,,,,,,,,,,Богуславский Дмитрий Эдгардович,"Член Совета директоров ПАО ""Артген""",0,0,0,1,0,0,0,0,0,1,0.0,0,1,22,0.0,0,17,10,10,17,1,1,1,1,10,False,1,1,0,1,0,1,False,,False,boguslavskii dmitrii edgardovich,1,1,385.0,60.370640367903896,0.0,0.0,60.00000000000001,80.44663648796863
ABIO,Деев Роман Вадимович,Член СД,False,0.5705698104326633,622.0,Деев Роман Вадимович,,,,,,,,,,,Деев Роман Вадимович,"Член Совета директоров ПАО ""Артген""; директор по науке ПАО ""Артген""",0,0,0,1,0,0,0,0,0,0,2.0,1,1,11,0.0,0,14,6,6,33,1,1,1,0,6,False,1,1,2,1,0,1,False,,False,deev roman vadimovich,1,1,622.0,65.2230189843432,0.0,0.0,70.0,73.27049026865062
ABIO,Исаев Андрей Александрович,Член СД,False,,1543.0,Исаев Андрей Александрович,,,,,,,,,,,Исаев Андрей Александрович,"Член Совета директоров ПАО ""Артген""",0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,9,5,9,29,1,1,1,1,5,False,1,0,0,0,0,1,False,,False,aleksandrovich andrei isaev,1,0,1543.0,74.42264903226106,0.0,0.0,30.0,0.0
ABIO,Исаев Артур Александрович,Председатель СД,False,0.4638349302795193,1277.0,Исаев Артур Александрович,,,,,,,,,,,Исаев Артур Александрович,"Председатель Совета директоров ПАО ""Артген""",0,0,1,0,0,1,0,0,0,1,2.0,1,1,0,1.0,1,23,23,23,28,1,1,1,1,23,False,1,1,2,1,1,1,False,,False,aleksandrovich artur isaev,1,1,1277.0,72.50606102843614,0.0,0.0,73.33333333333334,68.85952321569498
ABIO,Киселев Сергей Львович,Член СД,False,-0.2344953716399548,467.0,Киселев Сергей Львович,,,,,,,,,,,Киселев Сергей Львович,"Член Совета директоров ПАО ""Артген""",0,0,0,1,0,0,0,0,0,0,,1,1,18,0.0,0,29,10,20,29,1,1,1,0,10,False,1,1,1,1,0,1,False,,False,kiselev lvovich sergei,1,1,467.0,62.323220947797076,0.0,0.0,65.00000000000001,40.000054320169
ABIO,Масюк Сергей Владимирович,CEO,True,0.2122530075514029,512.0,Масюк Сергей Владимирович,,,,,,,,,,,Масюк Сергей Владимирович,"Генеральный директор ПАО ""Артген""",0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,9,9,9,9,1,1,1,1,6,True,1,0,0,0,0,1,True,json_2024,False,masiuk sergei vladimirovich,1,1,512.0,63.25381730145757,0.0,0.0,30.0,58.46255110422857
ABIO,Мауэр Константин Николаевич,Член СД,False,0.6910395765023049,367.0,Мауэр Константин Николаевич,,,,,,,,,,,Мауэр Константин Николаевич,"Член Совета директоров ПАО ""Артген"", независимый директор",0,0,1,0,0,1,0,0,0,1,0.0,0,0,0,0.0,0,0,0,0,42,1,1,1,1,0,False,1,1,0,0,0,1,False,,False,konstantin mauer nikolaevich,1,1,367.0,59.88658322884915,0.0,0.0,55.00000000000001,78.24907054388979
ABIO,Примак Алексей Евгеньевич,Член СД,False,-0.3175259621436808,175.0,Примак Алексей Евгеньевич,,,,,,,,,,,Примак Алексей Евгеньевич,"Член Совета директоров ПАО ""Артген""",0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2,2,2,34,1,1,1,1,2,False,1,0,0,0,0,1,False,,False,aleksei evgenevich primak,1,1,175.0,52.40999886813555,0.0,0.0,30.0,36.56869993466827
AFKS,Васадзе Леван Шиоевич,Член СД,False,,316.0,Васадзе Леван Шиоевич,,,,,,,,,,,Васадзе Леван Шиоевич,Член СД,0,0,1,0,0,1,1,0,0,1,0.0,0,0,0,0.0,0,24,0,22,24,1,1,1,0,0,False,1,1,0,0,0,1,False,,False,levan shioevich vasadze,1,0,316.0,58.37442601896788,0.0,0.0,55.00000000000001,0.0
AFKS,Волошин Александр Стальевич,Член СД,False,,17399.0,Волошин Александр Стальевич,,,,,,,,,,,Волошин Александр Стальевич,Член СД,0,0,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,1,1,1,18,1,1,1,1,1,False,1,0,0,0,0,1,False,,False,aleksandr stalevich voloshin,1,0,11489.0,98.97391561772231,0.0,0.0,30.0,0.0
AFKS,Вьюгин Олег Вячеславович,Член СД,False,,2736.0,Вьюгин Олег Вячеславович,,,,,,,,,,,Вьюгин Олег Вячеславович,Член СД,0,0,0,1,0,0,0,0,0,0,0.0,0,1,5,0.0,0,3,3,3,3,1,1,1,1,3,False,1,1,0,1,0,1,False,,False,oleg viacheslavovich viugin,1,0,2736.0,80.22558537471826,0.0,0.0,60.00000000000001,0.0
AFKS,Евтушенков Владимир Петрович,Председатель СД,False,,1622.0,Евтушенков Владимир Петрович,,,,,,,,,,,Евтушенков Владимир Петрович,Председатель СД,0,0,0,1,0,0,0,0,0,1,0.0,0,1,0,0.0,0,0,0,0,0,1,1,1,0,0,False,1,1,0,1,0,1,False,,False,evtushenkov petrovich vladimir,1,0,1622.0,74.92845282152419,0.0,0.0,60.00000000000001,0.0
AFKS,Евтушенков Феликс Владимирович,Первый вице-президент + Член СД,False,0.5673235497755391,980.0,Евтушенков Феликс Владимирович,,,,,,,,,,,Евтушенков Феликс Владимирович,Первый вице-президент + Член СД,0,0,1,0,0,0,0,1,1,1,0.0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,False,1,0,0,0,0,1,False,,False,evtushenkov feliks vladimirovich,1,1,980.0,69.82519917968077,0.0,0.0,30.0,73.13633404171397
AFKS,Кузьминов Ярослав Иванович,Член СД,False,,6406.0,Кузьминов Ярослав Иванович,,,,,,,,,,,Кузьминов Ярослав Иванович,Член СД,0,0,0,1,0,0,0,0,0,1,0.0,0,1,0,0.0,0,4,4,4,32,1,1,1,1,4,False,1,1,0,1,0,1,False,,False,iaroslav ivanovich kuzminov,1,0,3557.0,88.84686897357932,0.0,0.0,60.00000000000001,0.0
AFKS,Маслов Алексей Александрович,Член СД,False,-0.2075795632795535,1448.0,Маслов Алексей Александрович,,,,,,,,,,,Маслов Алексей Александрович,Член СД,0,0,0,1,0,0,0,0,0,0,0.0,0,1,0,0.0,0,0,0,0,4,1,1,1,1,0,False,1,1,0,1,0,1,False,,False,aleksandrovich aleksei maslov,1,1,1448.0,73.7789605372893,0.0,0.0,60.00000000000001,41.112387455420105
